# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.89914058e+10	7.03323037e-18
2.09238348e+10	7.03323405e-18
2.30528939e+10	7.03323307e-18
2.53985907e+10	7.03323021e-18
2.79829688e+10	7.03323420e-18
3.08303146e+10	7.03323163e-18
3.39673858e+10	7.03322945e-18
3.74236629e+10	7.03322531e-18
4.12316259e+10	7.03323782e-18
4.54270599e+10	7.03323626e-18
5.00493910e+10	7.03323904e-18
5.51420574e+10	7.03324179e-18
6.07529169e+10	7.03323245e-18
6.69346971e+10	7.03323350e-18
7.37454909e+10	7.03325431e-18
8.12493021e+10	7.03323229e-18
8.95166472e+10	7.03325647e-18
9.86252179e+10	7.03322973e-18
1.08660611e+11	7.03321625e-18
1.19717134e+11	7.03327796e-18
1.31898690e+11	7.03323155e-18
1.45319752e+11	7.03324199e-18
1.60106446e+11	7.03319341e-18
1.76397728e+11	7.03323822e-18
1.94346693e+11	7.03319428e-18
2.14122015e+11	7.03322435e-18
2.35909533e+11	7.03319580e-18
2.59913992e+11	7.03324024e-18
2.86360972e+11	7.03323415e-18
3.15499006e+11	7.03320468e-18
3.47601918e+11	7.03326445e-18
3.82971391e+11	7.03321399e-18
4.21939808e+11	7.03326246e-18
4.64873371e+11	7.03328861e-18
5.12175544e+11	7.03326815e-18
5.64290847e+11	7.03316228e-18
6.21709029e+11	7.03323372e-18
6.84969672e+11	7.03320175e-18
7.54667263e+11	7.03333314e-18
8.31456781e+11	7.03324185e-18
9.16059848e+11	7.03305413e-18
1.00927151e+12	7.03325074e-18
1.11196773e+12	7.03344489e-18
1.22511358e+12	7.03347351e-18
1.34977233e+12	7.03326627e-18
1.48711546e+12	7.03287968e-18
1.63843365e+12	7.03284676e-18
1.80514888e+12	7.03284852e-18
1.98882786e+12	7.03288358e-18
2.19119669e+12	7.03321554e-18
2.41415712e+12	7.03391606e-18
2.65980440e+12	7.03368519e-18
2.93044698e+12	7.03343370e-18
3.22862820e+12	7.03309206e-18
3.55715021e+12	7.03310810e-18
3.91910025e+12	7.03313738e-18
4.31787973e+12	7.03320176e-18
4.75723614e+12	7.03220752e-18
5.24129830e+12	7.03372958e-18
5.77461515e+12	7.03619507e-18
6.36219849e+12	7.03264983e-18
7.00957009e+12	7.03171870e-18
7.72281357e+12	7.03359829e-18
8.50863158e+12	7.03283743e-18
9.37440879e+12	7.03063329e-18
1.03282813e+13	7.03268704e-18
1.13792129e+13	7.03566525e-18
1.25370799e+13	7.03264084e-18
1.38127630e+13	7.03341553e-18
1.52182505e+13	7.03377814e-18
1.67667503e+13	7.03774811e-18
1.84728144e+13	7.03452705e-18
2.03524752e+13	7.02794979e-18
2.24233968e+13	7.03450774e-18
2.47050406e+13	7.03162602e-18
2.72188479e+13	7.03256225e-18
2.99884423e+13	7.03334166e-18
3.30398507e+13	7.03213760e-18
3.64017485e+13	7.02313889e-18
4.01057288e+13	7.03004010e-18
4.41865996e+13	7.03391211e-18
4.86827104e+13	7.03026228e-18
5.36363132e+13	7.02712453e-18
5.90939590e+13	7.03643062e-18
6.51069356e+13	7.03678773e-18
7.17317494e+13	7.03971753e-18
7.90306568e+13	7.02645828e-18
8.70722485e+13	7.02289663e-18
9.59320948e+13	7.03272022e-18
1.05693455e+14	7.03540082e-18
1.16448062e+14	7.01752504e-18
1.28296980e+14	7.02980033e-18
1.41351558e+14	7.02623894e-18
1.55734477e+14	6.96522507e-18
1.71580899e+14	7.01876627e-18
1.89039738e+14	7.01242166e-18
2.08275063e+14	7.01464523e-18
2.29467637e+14	7.01198605e-18
2.52816614e+14	7.00590254e-18
2.78541416e+14	7.00670029e-18
3.06883789e+14	7.00247853e-18
3.38110078e+14	6.99577263e-18
3.72513730e+14	6.99188621e-18
4.10418050e+14	6.98243810e-18
4.52179242e+14	6.97124125e-18
4.98189752e+14	6.97032496e-18
5.48881961e+14	6.99283929e-18
6.04732245e+14	6.95096180e-18
6.66265452e+14	6.93887009e-18
7.34059837e+14	6.91923105e-18
8.08752491e+14	6.90927897e-18
8.91045332e+14	6.89043889e-18
9.81711702e+14	6.86903290e-18
1.08160363e+15	6.84360124e-18
1.19165984e+15	6.81716673e-18
1.31291459e+15	6.78624146e-18
1.44650734e+15	6.75087446e-18
1.59369353e+15	6.69856453e-18
1.75585633e+15	6.66261747e-18
1.93451965e+15	6.61056512e-18
2.13136247e+15	6.55009763e-18
2.34823460e+15	6.48387602e-18
2.58717408e+15	6.40694943e-18
2.85042632e+15	6.31932721e-18
3.14046522e+15	6.22246225e-18
3.46001639e+15	6.11458350e-18
3.81208280e+15	5.99349762e-18
4.19997295e+15	5.85832700e-18
4.62733201e+15	5.70801698e-18
5.09817606e+15	5.54164141e-18
5.61692982e+15	5.35870055e-18
6.18846824e+15	5.15664595e-18
6.81816229e+15	4.93781586e-18
7.51192949e+15	4.69925057e-18
8.27628946e+15	4.44392343e-18
9.11842520e+15	4.17046594e-18
1.00462506e+16	3.88054356e-18
1.10684849e+16	3.57604423e-18
1.21947344e+16	3.26032699e-18
1.34355829e+16	2.93594978e-18
1.48026913e+16	2.60908657e-18
1.63089068e+16	2.28258637e-18
1.79683839e+16	1.96302684e-18
1.97967175e+16	1.65588319e-18
2.18110892e+16	1.36754926e-18
2.40304289e+16	1.10264383e-18
2.64755927e+16	8.66283833e-19
2.91695588e+16	6.60680592e-19
3.21376434e+16	4.87854200e-19
3.54077391e+16	3.47736251e-19
3.90105762e+16	2.38298847e-19
4.29800121e+16	1.56353448e-19
4.73533492e+16	9.78140831e-20
5.21716858e+16	5.80510462e-20
5.74803016e+16	3.25027198e-20
6.33290840e+16	1.70769288e-20
6.97729965e+16	8.36116813e-21
