# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
8.54798453e+08	9.35739573e-12
9.41776601e+08	9.35739530e-12
1.03760502e+09	9.35739440e-12
1.14318425e+09	9.35739237e-12
1.25950646e+09	9.35739274e-12
1.38766479e+09	9.35739123e-12
1.52886359e+09	9.35739013e-12
1.68442976e+09	9.35739034e-12
1.85582523e+09	9.35738952e-12
2.04466067e+09	9.35739056e-12
2.25271064e+09	9.35738822e-12
2.48193029e+09	9.35738825e-12
2.73447368e+09	9.35738794e-12
3.01271407e+09	9.35738844e-12
3.31926620e+09	9.35738775e-12
3.65701088e+09	9.35738632e-12
4.02912203e+09	9.35738810e-12
4.43909653e+09	9.35738436e-12
4.89078709e+09	9.35738703e-12
5.38843844e+09	9.35738213e-12
5.93672722e+09	9.35738611e-12
6.54080591e+09	9.35738297e-12
7.20635132e+09	9.35738174e-12
7.93961785e+09	9.35738779e-12
8.74749630e+09	9.35738716e-12
9.63757866e+09	9.35738175e-12
1.06182294e+10	9.35737988e-12
1.16986641e+10	9.35739023e-12
1.28890361e+10	9.35738152e-12
1.42005318e+10	9.35737628e-12
1.56454759e+10	9.35739077e-12
1.72374471e+10	9.35738722e-12
1.89914058e+10	9.35737811e-12
2.09238348e+10	9.35738085e-12
2.30528939e+10	9.35738074e-12
2.53985907e+10	9.35739737e-12
2.79829688e+10	9.35739929e-12
3.08303146e+10	9.35738201e-12
3.39673858e+10	9.35737555e-12
3.74236629e+10	9.35737179e-12
4.12316259e+10	9.35735986e-12
4.54270599e+10	9.35740002e-12
5.00493910e+10	9.35741072e-12
5.51420574e+10	9.35740515e-12
6.07529169e+10	9.35739642e-12
6.69346971e+10	9.35736157e-12
7.37454909e+10	9.35740372e-12
8.12493021e+10	9.35737306e-12
8.95166472e+10	9.35742872e-12
9.86252179e+10	9.35733316e-12
1.08660611e+11	9.35736865e-12
1.19717134e+11	9.35737002e-12
1.31898690e+11	9.35745043e-12
1.45319752e+11	9.35738389e-12
1.60106446e+11	9.35734581e-12
1.76397728e+11	9.35742807e-12
1.94346693e+11	9.35735049e-12
2.14122015e+11	9.35741595e-12
2.35909533e+11	9.35729434e-12
2.59913992e+11	9.35737931e-12
2.86360972e+11	9.35752741e-12
3.15499006e+11	9.35730817e-12
3.47601918e+11	9.35733759e-12
3.82971391e+11	9.35747765e-12
4.21939808e+11	9.35729193e-12
4.64873371e+11	9.35749355e-12
5.12175544e+11	9.35757745e-12
5.64290847e+11	9.35760922e-12
6.21709029e+11	9.35717629e-12
6.84969672e+11	9.35696879e-12
7.54667263e+11	9.35764501e-12
8.31456781e+11	9.35765718e-12
9.16059848e+11	9.35761202e-12
1.00927151e+12	9.35717344e-12
1.11196773e+12	9.35713351e-12
1.22511358e+12	9.35697070e-12
1.34977233e+12	9.35778205e-12
1.48711546e+12	9.35785261e-12
1.63843365e+12	9.35691839e-12
1.80514888e+12	9.35816721e-12
1.98882786e+12	9.35711019e-12
2.19119669e+12	9.35715276e-12
2.41415712e+12	9.35735921e-12
2.65980440e+12	9.35594032e-12
2.93044698e+12	9.35792306e-12
3.22862820e+12	9.35659193e-12
3.55715021e+12	9.35861671e-12
3.91910025e+12	9.36054538e-12
4.31787973e+12	9.35692972e-12
4.75723614e+12	9.35589714e-12
5.24129830e+12	9.36042750e-12
5.77461515e+12	9.35754660e-12
6.36219849e+12	9.35775431e-12
7.00957009e+12	9.35973354e-12
7.72281357e+12	9.35735776e-12
8.50863158e+12	9.35725301e-12
9.37440879e+12	9.36105592e-12
1.03282813e+13	9.35617436e-12
1.13792129e+13	9.35419863e-12
1.25370799e+13	9.35730419e-12
1.38127630e+13	9.35085693e-12
1.52182505e+13	9.36560850e-12
